year,measure,value
1970,Unsmoothed index,100.0
1971,Unsmoothed index,103.74378906966308
1972,Unsmoothed index,104.31942154844494
1973,Unsmoothed index,101.12223902593796
1974,Unsmoothed index,101.93031136106772
1975,Unsmoothed index,105.97301277943718
1976,Unsmoothed index,109.9507793403706
1977,Unsmoothed index,111.95770858553507
1978,Unsmoothed index,103.7529514578671
1979,Unsmoothed index,97.91345855787247
1980,Unsmoothed index,97.17774031909588
1981,Unsmoothed index,92.20117479539157
1982,Unsmoothed index,81.65867691237628
1983,Unsmoothed index,80.6250260315718
1984,Unsmoothed index,80.0255268597272
1985,Unsmoothed index,73.55597439303831
1986,Unsmoothed index,67.57724510152782
1987,Unsmoothed index,64.5983653259789
1988,Unsmoothed index,64.5867557862476
1989,Unsmoothed index,66.5451877585832
1990,Unsmoothed index,68.22707576726881
1991,Unsmoothed index,63.348905811009935
1992,Unsmoothed index,59.14431465153459
1993,Unsmoothed index,53.49521456148298
1994,Unsmoothed index,56.182685035592186
1995,Unsmoothed index,58.12974770788374
1996,Unsmoothed index,56.8416900562728
1997,Unsmoothed index,55.31734264736335
1998,Unsmoothed index,52.58108822320448
1999,Unsmoothed index,52.01334352776812
2000,Unsmoothed index,52.85209378616044
2001,Unsmoothed index,52.99167881368264
2002,Unsmoothed index,53.01722075129997
2003,Unsmoothed index,52.99060901141858
2004,Unsmoothed index,53.28701281954235
2005,Unsmoothed index,53.60420144726683
2006,Unsmoothed index,52.83013810540776
2007,Unsmoothed index,48.29028858643324
2008,Unsmoothed index,49.72259128274851
2009,Unsmoothed index,47.31968112419264
2010,Unsmoothed index,47.77796964670703
2011,Unsmoothed index,48.19259474727063
2012,Unsmoothed index,48.64543699179195
2013,Unsmoothed index,43.61758860146088
2014,Unsmoothed index,43.90902631623175
2015,Unsmoothed index,45.52219279768296
2016,Unsmoothed index,42.95303018827667
2017,Unsmoothed index,44.3583240929117
2018,Unsmoothed index,41.93566557473345
2019,Unsmoothed index,42.22810384357624
1970,Smoothed index,100.0
1971,Smoothed index,98.97120640709342
1972,Smoothed index,98.58570697782014
1973,Smoothed index,98.8695488549136
1974,Smoothed index,100.16459265676096
1975,Smoothed index,102.15625368480434
1976,Smoothed index,103.6020888985583
1977,Smoothed index,103.2532290684477
1978,Smoothed index,100.6968424068341
1979,Smoothed index,96.77043648055243
1980,Smoothed index,92.26227100445055
1981,Smoothed index,87.3161420640561
1982,Smoothed index,82.29432032553284
1983,Smoothed index,77.89520774866462
1984,Smoothed index,73.97112952280179
1985,Smoothed index,70.11558087255484
1986,Smoothed index,66.68991097525
1987,Smoothed index,64.35724555448068
