year,measure,value
1990,Unsmoothed index,100.0
1991,Unsmoothed index,90.364
1992,Unsmoothed index,110.4
1993,Unsmoothed index,55.718
1994,Unsmoothed index,65.162
1995,Unsmoothed index,86.896
1996,Unsmoothed index,85.113
1997,Unsmoothed index,94.623
1998,Unsmoothed index,58.21
1999,Unsmoothed index,49.888
2000,Unsmoothed index,50.003
2001,Unsmoothed index,48.194
2002,Unsmoothed index,56.234
2003,Unsmoothed index,70.794
2004,Unsmoothed index,73.451
2005,Unsmoothed index,55.718
2006,Unsmoothed index,56.234
2007,Unsmoothed index,36.812
2008,Unsmoothed index,35.156
2009,Unsmoothed index,55.207
2010,Unsmoothed index,62.95
2011,Unsmoothed index,55.718
2012,Unsmoothed index,29.241
2013,Unsmoothed index,57.543
2014,Unsmoothed index,50.815
2015,Unsmoothed index,49.203
2016,Unsmoothed index,35.563
2017,Unsmoothed index,46.773
2018,Unsmoothed index,66.988
2019,Unsmoothed index,58.479
2020,Unsmoothed index,58.613
2021,Unsmoothed index,39.719
1990,Smoothed index,93.817
1991,Smoothed index,90.344
1992,Smoothed index,86.888
1993,Smoothed index,83.469
1994,Smoothed index,80.174
1995,Smoothed index,77.009
1996,Smoothed index,73.934
1997,Smoothed index,70.942
1998,Smoothed index,68.056
1999,Smoothed index,65.368
2000,Smoothed index,62.943
2001,Smoothed index,60.8
2002,Smoothed index,58.92
2003,Smoothed index,57.246
2004,Smoothed index,55.714
2005,Smoothed index,54.3
2006,Smoothed index,53.031
2007,Smoothed index,51.94
2008,Smoothed index,51.068
2009,Smoothed index,50.412
2010,Smoothed index,49.921
2011,Smoothed index,49.56
2012,Smoothed index,49.332
2013,Smoothed index,49.257
2014,Smoothed index,49.297
2015,Smoothed index,49.437
2016,Smoothed index,49.668
2017,Smoothed index,49.98
2018,Smoothed index,50.321
2019,Smoothed index,50.631
2020,Smoothed index,50.895
2021,Smoothed index,51.126
1990,95% confidence interval lower bound,81.60816
1991,95% confidence interval lower bound,79.93248
1992,95% confidence interval lower bound,77.86024
1993,95% confidence interval lower bound,75.42124
1994,95% confidence interval lower bound,72.75344000000001
1995,95% confidence interval lower bound,69.94516
1996,95% confidence interval lower bound,67.0446
1997,95% confidence interval lower bound,64.12119999999999
1998,95% confidence interval lower bound,61.2548
1999,95% confidence interval lower bound,58.56679999999999
2000,95% confidence interval lower bound,56.13984
2001,95% confidence interval lower bound,53.9988
2002,95% confidence interval lower bound,52.12664
2003,95% confidence interval lower bound,50.46048
2004,95% confidence interval lower bound,48.93632
2005,95% confidence interval lower bound,47.52624
2006,95% confidence interval lower bound,46.25724
2007,95% confidence interval lower bound,45.16232
2008,95% confidence interval lower bound,44.28248
2009,95% confidence interval lower bound,43.61864
2010,95% confidence interval lower bound,43.1198
2011,95% confidence interval lower bound,42.75684
2012,95% confidence interval lower bound,42.5308
2013,95% confidence interval lower bound,42.4558
2014,95% confidence interval lower bound,42.4762
2015,95% confidence interval lower bound,42.54564
2016,95% confidence interval lower bound,42.59828
2017,95% confidence interval lower bound,42.54964
2018,95% confidence interval lower bound,42.25364
2019,95% confidence interval lower bound,41.57384
2020,95% confidence interval lower bound,40.44232
2021,95% confidence interval lower bound,38.86228
1990,95% confidence interval upper bound,106.02584
1991,95% confidence interval upper bound,100.75552
1992,95% confidence interval upper bound,95.91576
1993,95% confidence interval upper bound,91.51676
1994,95% confidence interval upper bound,87.59456
1995,95% confidence interval upper bound,84.07284
1996,95% confidence interval upper bound,80.82339999999999
1997,95% confidence interval upper bound,77.7628
1998,95% confidence interval upper bound,74.85719999999999
1999,95% confidence interval upper bound,72.16919999999999
2000,95% confidence interval upper bound,69.74616
2001,95% confidence interval upper bound,67.60119999999999
2002,95% confidence interval upper bound,65.71336
2003,95% confidence interval upper bound,64.03152
2004,95% confidence interval upper bound,62.49168
2005,95% confidence interval upper bound,61.07376
2006,95% confidence interval upper bound,59.80476
2007,95% confidence interval upper bound,58.71768
2008,95% confidence interval upper bound,57.85352
2009,95% confidence interval upper bound,57.20536
2010,95% confidence interval upper bound,56.7222
2011,95% confidence interval upper bound,56.36316
2012,95% confidence interval upper bound,56.1332
2013,95% confidence interval upper bound,56.0582
2014,95% confidence interval upper bound,56.1178
2015,95% confidence interval upper bound,56.32836
2016,95% confidence interval upper bound,56.73772
2017,95% confidence interval upper bound,57.41036
2018,95% confidence interval upper bound,58.38836
2019,95% confidence interval upper bound,59.68816
2020,95% confidence interval upper bound,61.34768
2021,95% confidence interval upper bound,63.38972
