year,trendline,value
1970,Smoothed index (option 1),100.0
1971,Smoothed index (option 1),93.1
1972,Smoothed index (option 1),88.1
1973,Smoothed index (option 1),84.6
1974,Smoothed index (option 1),82.3
1975,Smoothed index (option 1),80.8
1976,Smoothed index (option 1),80.1
1977,Smoothed index (option 1),80.0
1978,Smoothed index (option 1),80.4
1979,Smoothed index (option 1),81.0
1980,Smoothed index (option 1),81.9
1981,Smoothed index (option 1),82.9
1982,Smoothed index (option 1),83.9
1983,Smoothed index (option 1),84.7
1984,Smoothed index (option 1),85.4
1985,Smoothed index (option 1),85.8
1986,Smoothed index (option 1),85.9
1987,Smoothed index (option 1),85.7
1988,Smoothed index (option 1),85.2
1989,Smoothed index (option 1),84.4
1990,Smoothed index (option 1),83.4
1991,Smoothed index (option 1),82.1
1992,Smoothed index (option 1),80.7
1993,Smoothed index (option 1),79.2
1994,Smoothed index (option 1),77.6
1995,Smoothed index (option 1),76.0
1996,Smoothed index (option 1),74.4
1997,Smoothed index (option 1),72.8
1998,Smoothed index (option 1),71.4
1999,Smoothed index (option 1),70.2
2000,Smoothed index (option 1),69.1
2001,Smoothed index (option 1),68.2
2002,Smoothed index (option 1),67.5
2003,Smoothed index (option 1),67.0
2004,Smoothed index (option 1),66.6
2005,Smoothed index (option 1),66.5
2006,Smoothed index (option 1),66.4
2007,Smoothed index (option 1),66.4
2008,Smoothed index (option 1),66.5
2009,Smoothed index (option 1),66.6
2010,Smoothed index (option 1),66.6
2011,Smoothed index (option 1),66.7
2012,Smoothed index (option 1),66.7
2013,Smoothed index (option 1),66.6
2014,Smoothed index (option 1),66.5
2015,Smoothed index (option 1),66.4
2016,Smoothed index (option 1),66.4
2017,Smoothed index (option 1),66.3
2018,Smoothed index (option 1),66.3
2019,Smoothed index (option 1),66.4
2020,Smoothed index (option 1),66.5
2021,Smoothed index (option 1),66.7
2022,Smoothed index (option 1),67.1
2023,Smoothed index (option 1),67.5
1970,95% credible interval lower bound (option 1),100.0
1971,95% credible interval lower bound (option 1),92.2
1972,95% credible interval lower bound (option 1),86.5
1973,95% credible interval lower bound (option 1),82.6
1974,95% credible interval lower bound (option 1),79.9
1975,95% credible interval lower bound (option 1),78.2
1976,95% credible interval lower bound (option 1),77.3
1977,95% credible interval lower bound (option 1),77.1
1978,95% credible interval lower bound (option 1),77.2
1979,95% credible interval lower bound (option 1),77.7
1980,95% credible interval lower bound (option 1),78.4
1981,95% credible interval lower bound (option 1),79.1
1982,95% credible interval lower bound (option 1),79.8
1983,95% credible interval lower bound (option 1),80.4
1984,95% credible interval lower bound (option 1),80.8
1985,95% credible interval lower bound (option 1),81.1
1986,95% credible interval lower bound (option 1),81.0
1987,95% credible interval lower bound (option 1),80.6
1988,95% credible interval lower bound (option 1),80.0
1989,95% credible interval lower bound (option 1),79.1
1990,95% credible interval lower bound (option 1),78.0
1991,95% credible interval lower bound (option 1),76.7
1992,95% credible interval lower bound (option 1),75.2
1993,95% credible interval lower bound (option 1),73.7
1994,95% credible interval lower bound (option 1),72.0
1995,95% credible interval lower bound (option 1),70.4
1996,95% credible interval lower bound (option 1),68.9
1997,95% credible interval lower bound (option 1),67.5
1998,95% credible interval lower bound (option 1),66.1
1999,95% credible interval lower bound (option 1),64.9
2000,95% credible interval lower bound (option 1),63.8
2001,95% credible interval lower bound (option 1),63.0
2002,95% credible interval lower bound (option 1),62.3
2003,95% credible interval lower bound (option 1),61.7
2004,95% credible interval lower bound (option 1),61.4
2005,95% credible interval lower bound (option 1),61.2
2006,95% credible interval lower bound (option 1),61.0
2007,95% credible interval lower bound (option 1),60.9
2008,95% credible interval lower bound (option 1),60.9
2009,95% credible interval lower bound (option 1),60.9
2010,95% credible interval lower bound (option 1),60.8
2011,95% credible interval lower bound (option 1),60.8
2012,95% credible interval lower bound (option 1),60.7
2013,95% credible interval lower bound (option 1),60.7
2014,95% credible interval lower bound (option 1),60.6
2015,95% credible interval lower bound (option 1),60.4
2016,95% credible interval lower bound (option 1),60.3
2017,95% credible interval lower bound (option 1),60.2
2018,95% credible interval lower bound (option 1),60.0
2019,95% credible interval lower bound (option 1),59.9
2020,95% credible interval lower bound (option 1),60.0
2021,95% credible interval lower bound (option 1),60.1
2022,95% credible interval lower bound (option 1),60.5
2023,95% credible interval lower bound (option 1),60.9
1970,95% credible interval upper bound (option 1),100.0
1971,95% credible interval upper bound (option 1),94.2
1972,95% credible interval upper bound (option 1),89.9
1973,95% credible interval upper bound (option 1),86.8
1974,95% credible interval upper bound (option 1),84.8
1975,95% credible interval upper bound (option 1),83.7
1976,95% credible interval upper bound (option 1),83.3
1977,95% credible interval upper bound (option 1),83.4
1978,95% credible interval upper bound (option 1),84.0
1979,95% credible interval upper bound (option 1),84.9
1980,95% credible interval upper bound (option 1),86.0
1981,95% credible interval upper bound (option 1),87.2
1982,95% credible interval upper bound (option 1),88.5
1983,95% credible interval upper bound (option 1),89.6
1984,95% credible interval upper bound (option 1),90.3
1985,95% credible interval upper bound (option 1),91.0
1986,95% credible interval upper bound (option 1),91.2
1987,95% credible interval upper bound (option 1),91.2
1988,95% credible interval upper bound (option 1),90.8
1989,95% credible interval upper bound (option 1),90.0
1990,95% credible interval upper bound (option 1),89.1
1991,95% credible interval upper bound (option 1),87.8
1992,95% credible interval upper bound (option 1),86.5
1993,95% credible interval upper bound (option 1),85.0
1994,95% credible interval upper bound (option 1),83.3
1995,95% credible interval upper bound (option 1),81.7
1996,95% credible interval upper bound (option 1),80.3
1997,95% credible interval upper bound (option 1),78.7
1998,95% credible interval upper bound (option 1),77.4
1999,95% credible interval upper bound (option 1),76.1
2000,95% credible interval upper bound (option 1),75.0
2001,95% credible interval upper bound (option 1),74.0
2002,95% credible interval upper bound (option 1),73.3
2003,95% credible interval upper bound (option 1),72.8
2004,95% credible interval upper bound (option 1),72.5
2005,95% credible interval upper bound (option 1),72.5
2006,95% credible interval upper bound (option 1),72.5
2007,95% credible interval upper bound (option 1),72.6
2008,95% credible interval upper bound (option 1),72.7
2009,95% credible interval upper bound (option 1),72.9
2010,95% credible interval upper bound (option 1),73.0
2011,95% credible interval upper bound (option 1),73.1
2012,95% credible interval upper bound (option 1),73.2
2013,95% credible interval upper bound (option 1),73.1
2014,95% credible interval upper bound (option 1),73.1
2015,95% credible interval upper bound (option 1),73.2
2016,95% credible interval upper bound (option 1),73.1
2017,95% credible interval upper bound (option 1),73.1
2018,95% credible interval upper bound (option 1),73.1
2019,95% credible interval upper bound (option 1),73.3
2020,95% credible interval upper bound (option 1),73.5
2021,95% credible interval upper bound (option 1),73.6
2022,95% credible interval upper bound (option 1),74.0
2023,95% credible interval upper bound (option 1),74.6
1970,Smoothed index (option 2),100.0
1971,Smoothed index (option 2),89.7
1972,Smoothed index (option 2),84.6
1973,Smoothed index (option 2),82.8
1974,Smoothed index (option 2),82.8
1975,Smoothed index (option 2),83.6
1976,Smoothed index (option 2),84.3
1977,Smoothed index (option 2),83.8
1978,Smoothed index (option 2),82.1
1979,Smoothed index (option 2),80.1
1980,Smoothed index (option 2),79.5
1981,Smoothed index (option 2),81.4
1982,Smoothed index (option 2),85.1
1983,Smoothed index (option 2),88.3
1984,Smoothed index (option 2),89.1
1985,Smoothed index (option 2),87.4
1986,Smoothed index (option 2),84.7
1987,Smoothed index (option 2),82.4
1988,Smoothed index (option 2),80.9
1989,Smoothed index (option 2),80.5
1990,Smoothed index (option 2),80.9
1991,Smoothed index (option 2),81.7
1992,Smoothed index (option 2),82.1
1993,Smoothed index (option 2),81.9
1994,Smoothed index (option 2),81.4
1995,Smoothed index (option 2),80.4
1996,Smoothed index (option 2),78.4
1997,Smoothed index (option 2),74.6
1998,Smoothed index (option 2),69.5
1999,Smoothed index (option 2),65.0
2000,Smoothed index (option 2),62.8
2001,Smoothed index (option 2),63.4
2002,Smoothed index (option 2),65.9
2003,Smoothed index (option 2),68.4
2004,Smoothed index (option 2),69.9
2005,Smoothed index (option 2),70.2
2006,Smoothed index (option 2),69.7
2007,Smoothed index (option 2),68.8
2008,Smoothed index (option 2),68.3
2009,Smoothed index (option 2),68.1
2010,Smoothed index (option 2),68.2
2011,Smoothed index (option 2),67.8
2012,Smoothed index (option 2),66.6
2013,Smoothed index (option 2),65.0
2014,Smoothed index (option 2),63.7
2015,Smoothed index (option 2),63.0
2016,Smoothed index (option 2),63.0
2017,Smoothed index (option 2),63.8
2018,Smoothed index (option 2),65.0
2019,Smoothed index (option 2),66.1
2020,Smoothed index (option 2),66.9
2021,Smoothed index (option 2),67.2
2022,Smoothed index (option 2),67.0
2023,Smoothed index (option 2),66.6
1970,95% credible interval lower bound (option 2),100.0
1971,95% credible interval lower bound (option 2),88.3
1972,95% credible interval lower bound (option 2),82.7
1973,95% credible interval lower bound (option 2),80.5
1974,95% credible interval lower bound (option 2),80.2
1975,95% credible interval lower bound (option 2),80.7
1976,95% credible interval lower bound (option 2),81.0
1977,95% credible interval lower bound (option 2),80.2
1978,95% credible interval lower bound (option 2),78.5
1979,95% credible interval lower bound (option 2),76.4
1980,95% credible interval lower bound (option 2),75.6
1981,95% credible interval lower bound (option 2),77.3
1982,95% credible interval lower bound (option 2),80.7
1983,95% credible interval lower bound (option 2),83.6
1984,95% credible interval lower bound (option 2),84.0
1985,95% credible interval lower bound (option 2),82.3
1986,95% credible interval lower bound (option 2),79.6
1987,95% credible interval lower bound (option 2),77.4
1988,95% credible interval lower bound (option 2),75.9
1989,95% credible interval lower bound (option 2),75.5
1990,95% credible interval lower bound (option 2),75.8
1991,95% credible interval lower bound (option 2),76.3
1992,95% credible interval lower bound (option 2),76.6
1993,95% credible interval lower bound (option 2),76.3
1994,95% credible interval lower bound (option 2),75.6
