period,trend,percentage
Long term (1970–2022),Strong decrease,21.41036533559898
Long term (1970–2022),Weak decrease,16.057774001699237
Long term (1970–2022),Little or no change,28.20730671197961
Long term (1970–2022),Weak increase,12.149532710280374
Long term (1970–2022),Strong increase,22.1750212404418
Short term (2017–2022),Strong decrease,26.923076923076923
Short term (2017–2022),Weak decrease,9.914529914529917
Short term (2017–2022),Little or no change,15.128205128205128
Short term (2017–2022),Weak increase,7.6068376068376065
Short term (2017–2022),Strong increase,40.427350427350426
