year,trendline,value
1970,Smoothed index (option 1),100.0
1971,Smoothed index (option 1),92.3
1972,Smoothed index (option 1),86.2
1973,Smoothed index (option 1),81.3
1974,Smoothed index (option 1),77.4
1975,Smoothed index (option 1),74.3
1976,Smoothed index (option 1),71.8
1977,Smoothed index (option 1),69.7
1978,Smoothed index (option 1),68.0
1979,Smoothed index (option 1),66.4
1980,Smoothed index (option 1),64.9
1981,Smoothed index (option 1),63.5
1982,Smoothed index (option 1),62.0
1983,Smoothed index (option 1),60.4
1984,Smoothed index (option 1),58.7
1985,Smoothed index (option 1),56.9
1986,Smoothed index (option 1),54.9
1987,Smoothed index (option 1),52.7
1988,Smoothed index (option 1),50.5
1989,Smoothed index (option 1),48.1
1990,Smoothed index (option 1),45.7
1991,Smoothed index (option 1),43.3
1992,Smoothed index (option 1),40.9
1993,Smoothed index (option 1),38.6
1994,Smoothed index (option 1),36.4
1995,Smoothed index (option 1),34.4
1996,Smoothed index (option 1),32.5
1997,Smoothed index (option 1),30.8
1998,Smoothed index (option 1),29.3
1999,Smoothed index (option 1),28.0
2000,Smoothed index (option 1),27.0
2001,Smoothed index (option 1),26.1
2002,Smoothed index (option 1),25.4
2003,Smoothed index (option 1),24.9
2004,Smoothed index (option 1),24.6
2005,Smoothed index (option 1),24.3
2006,Smoothed index (option 1),24.1
2007,Smoothed index (option 1),24.0
2008,Smoothed index (option 1),23.8
2009,Smoothed index (option 1),23.6
2010,Smoothed index (option 1),23.3
2011,Smoothed index (option 1),23.1
2012,Smoothed index (option 1),22.7
2013,Smoothed index (option 1),22.3
2014,Smoothed index (option 1),22.0
2015,Smoothed index (option 1),21.6
2016,Smoothed index (option 1),21.2
2017,Smoothed index (option 1),20.9
2018,Smoothed index (option 1),20.7
2019,Smoothed index (option 1),20.6
2020,Smoothed index (option 1),20.6
2021,Smoothed index (option 1),20.8
2022,Smoothed index (option 1),21.1
1970,95% credible interval lower bound (option 1),100.0
1971,95% credible interval lower bound (option 1),90.3
1972,95% credible interval lower bound (option 1),82.9
1973,95% credible interval lower bound (option 1),77.2
1974,95% credible interval lower bound (option 1),72.7
1975,95% credible interval lower bound (option 1),69.3
1976,95% credible interval lower bound (option 1),66.5
1977,95% credible interval lower bound (option 1),64.2
1978,95% credible interval lower bound (option 1),62.2
1979,95% credible interval lower bound (option 1),60.5
1980,95% credible interval lower bound (option 1),58.9
1981,95% credible interval lower bound (option 1),57.4
1982,95% credible interval lower bound (option 1),55.9
1983,95% credible interval lower bound (option 1),54.1
1984,95% credible interval lower bound (option 1),52.4
1985,95% credible interval lower bound (option 1),50.6
1986,95% credible interval lower bound (option 1),48.6
1987,95% credible interval lower bound (option 1),46.6
1988,95% credible interval lower bound (option 1),44.4
1989,95% credible interval lower bound (option 1),42.2
1990,95% credible interval lower bound (option 1),40.0
1991,95% credible interval lower bound (option 1),37.8
1992,95% credible interval lower bound (option 1),35.5
1993,95% credible interval lower bound (option 1),33.6
1994,95% credible interval lower bound (option 1),31.5
1995,95% credible interval lower bound (option 1),29.6
1996,95% credible interval lower bound (option 1),27.9
1997,95% credible interval lower bound (option 1),26.4
1998,95% credible interval lower bound (option 1),25.1
1999,95% credible interval lower bound (option 1),23.9
2000,95% credible interval lower bound (option 1),22.9
2001,95% credible interval lower bound (option 1),22.2
2002,95% credible interval lower bound (option 1),21.6
2003,95% credible interval lower bound (option 1),21.1
2004,95% credible interval lower bound (option 1),20.8
2005,95% credible interval lower bound (option 1),20.5
2006,95% credible interval lower bound (option 1),20.3
2007,95% credible interval lower bound (option 1),20.0
2008,95% credible interval lower bound (option 1),19.9
2009,95% credible interval lower bound (option 1),19.6
2010,95% credible interval lower bound (option 1),19.4
2011,95% credible interval lower bound (option 1),19.1
2012,95% credible interval lower bound (option 1),18.8
2013,95% credible interval lower bound (option 1),18.4
2014,95% credible interval lower bound (option 1),18.1
2015,95% credible interval lower bound (option 1),17.8
2016,95% credible interval lower bound (option 1),17.5
2017,95% credible interval lower bound (option 1),17.2
2018,95% credible interval lower bound (option 1),17.0
2019,95% credible interval lower bound (option 1),16.9
2020,95% credible interval lower bound (option 1),16.9
2021,95% credible interval lower bound (option 1),17.0
2022,95% credible interval lower bound (option 1),17.3
1970,95% credible interval upper bound (option 1),100.0
1971,95% credible interval upper bound (option 1),94.3
1972,95% credible interval upper bound (option 1),89.6
1973,95% credible interval upper bound (option 1),85.7
1974,95% credible interval upper bound (option 1),82.4
1975,95% credible interval upper bound (option 1),79.6
1976,95% credible interval upper bound (option 1),77.5
1977,95% credible interval upper bound (option 1),75.6
1978,95% credible interval upper bound (option 1),74.2
1979,95% credible interval upper bound (option 1),72.7
1980,95% credible interval upper bound (option 1),71.5
1981,95% credible interval upper bound (option 1),70.2
1982,95% credible interval upper bound (option 1),68.7
1983,95% credible interval upper bound (option 1),67.3
1984,95% credible interval upper bound (option 1),65.8
1985,95% credible interval upper bound (option 1),64.0
1986,95% credible interval upper bound (option 1),61.9
1987,95% credible interval upper bound (option 1),59.7
1988,95% credible interval upper bound (option 1),57.2
1989,95% credible interval upper bound (option 1),54.8
1990,95% credible interval upper bound (option 1),52.2
1991,95% credible interval upper bound (option 1),49.6
1992,95% credible interval upper bound (option 1),47.1
1993,95% credible interval upper bound (option 1),44.6
1994,95% credible interval upper bound (option 1),42.2
1995,95% credible interval upper bound (option 1),39.9
1996,95% credible interval upper bound (option 1),37.9
1997,95% credible interval upper bound (option 1),36.0
1998,95% credible interval upper bound (option 1),34.4
1999,95% credible interval upper bound (option 1),33.0
2000,95% credible interval upper bound (option 1),31.8
2001,95% credible interval upper bound (option 1),30.9
2002,95% credible interval upper bound (option 1),30.2
2003,95% credible interval upper bound (option 1),29.7
2004,95% credible interval upper bound (option 1),29.2
2005,95% credible interval upper bound (option 1),29.1
2006,95% credible interval upper bound (option 1),28.9
2007,95% credible interval upper bound (option 1),28.7
2008,95% credible interval upper bound (option 1),28.5
2009,95% credible interval upper bound (option 1),28.3
2010,95% credible interval upper bound (option 1),28.0
2011,95% credible interval upper bound (option 1),27.7
2012,95% credible interval upper bound (option 1),27.3
2013,95% credible interval upper bound (option 1),26.9
2014,95% credible interval upper bound (option 1),26.5
2015,95% credible interval upper bound (option 1),26.1
2016,95% credible interval upper bound (option 1),25.7
2017,95% credible interval upper bound (option 1),25.4
2018,95% credible interval upper bound (option 1),25.3
2019,95% credible interval upper bound (option 1),25.2
2020,95% credible interval upper bound (option 1),25.2
2021,95% credible interval upper bound (option 1),25.5
2022,95% credible interval upper bound (option 1),26.1
1970,Smoothed index (option 2),100.0
1971,Smoothed index (option 2),89.4
1972,Smoothed index (option 2),82.5
1973,Smoothed index (option 2),78.3
1974,Smoothed index (option 2),76.1
1975,Smoothed index (option 2),75.2
1976,Smoothed index (option 2),74.9
1977,Smoothed index (option 2),73.8
1978,Smoothed index (option 2),71.3
1979,Smoothed index (option 2),67.9
1980,Smoothed index (option 2),64.8
1981,Smoothed index (option 2),62.8
1982,Smoothed index (option 2),61.7
1983,Smoothed index (option 2),60.7
1984,Smoothed index (option 2),59.2
1985,Smoothed index (option 2),57.0
1986,Smoothed index (option 2),54.4
1987,Smoothed index (option 2),51.6
1988,Smoothed index (option 2),49.1
1989,Smoothed index (option 2),47.1
1990,Smoothed index (option 2),45.4
1991,Smoothed index (option 2),43.8
1992,Smoothed index (option 2),41.8
1993,Smoothed index (option 2),39.8
1994,Smoothed index (option 2),37.7
1995,Smoothed index (option 2),35.6
1996,Smoothed index (option 2),33.2
1997,Smoothed index (option 2),30.5
1998,Smoothed index (option 2),27.8
1999,Smoothed index (option 2),25.8
2000,Smoothed index (option 2),25.0
2001,Smoothed index (option 2),25.1
2002,Smoothed index (option 2),25.6
2003,Smoothed index (option 2),26.0
2004,Smoothed index (option 2),26.0
2005,Smoothed index (option 2),25.3
2006,Smoothed index (option 2),24.3
2007,Smoothed index (option 2),23.5
2008,Smoothed index (option 2),23.4
2009,Smoothed index (option 2),23.8
2010,Smoothed index (option 2),24.2
2011,Smoothed index (option 2),24.0
2012,Smoothed index (option 2),23.1
2013,Smoothed index (option 2),21.9
2014,Smoothed index (option 2),20.9
2015,Smoothed index (option 2),20.2
2016,Smoothed index (option 2),19.9
2017,Smoothed index (option 2),20.1
2018,Smoothed index (option 2),20.5
2019,Smoothed index (option 2),20.9
2020,Smoothed index (option 2),21.1
2021,Smoothed index (option 2),21.1
2022,Smoothed index (option 2),20.9
1970,95% credible interval lower bound (option 2),100.0
1971,95% credible interval lower bound (option 2),87.1
1972,95% credible interval lower bound (option 2),79.1
1973,95% credible interval lower bound (option 2),74.2
1974,95% credible interval lower bound (option 2),71.5
1975,95% credible interval lower bound (option 2),70.2
1976,95% credible interval lower bound (option 2),69.5
1977,95% credible interval lower bound (option 2),68.0
1978,95% credible interval lower bound (option 2),65.5
1979,95% credible interval lower bound (option 2),62.0
1980,95% credible interval lower bound (option 2),58.8
1981,95% credible interval lower bound (option 2),56.9
1982,95% credible interval lower bound (option 2),55.5
1983,95% credible interval lower bound (option 2),54.5
1984,95% credible interval lower bound (option 2),53.0
1985,95% credible interval lower bound (option 2),50.7
1986,95% credible interval lower bound (option 2),48.2
1987,95% credible interval lower bound (option 2),45.5
1988,95% credible interval lower bound (option 2),43.2
1989,95% credible interval lower bound (option 2),41.3
1990,95% credible interval lower bound (option 2),39.8
1991,95% credible interval lower bound (option 2),38.2
1992,95% credible interval lower bound (option 2),36.5
1993,95% credible interval lower bound (option 2),34.6
1994,95% credible interval lower bound (option 2),32.8
1995,95% credible interval lower bound (option 2),30.8
1996,95% credible interval lower bound (option 2),28.7
1997,95% credible interval lower bound (option 2),26.3
1998,95% credible interval lower bound (option 2),24.0
1999,95% credible interval lower bound (option 2),22.3
2000,95% credible interval lower bound (option 2),21.5
2001,95% credible interval lower bound (option 2),21.5
2002,95% credible interval lower bound (option 2),21.9
2003,95% credible interval lower bound (option 2),22.2
2004,95% credible interval lower bound (option 2),22.2
2005,95% credible interval lower bound (option 2),21.6
2006,95% credible interval lower bound (option 2),20.7
2007,95% credible interval lower bound (option 2),20.0
2008,95% credible interval lower bound (option 2),19.9
2009,95% credible interval lower bound (option 2),20.2
2010,95% credible interval lower bound (option 2),20.4
2011,95% credible interval lower bound (option 2),20.2
2012,95% credible interval lower bound (option 2),19.3
2013,95% credible interval lower bound (option 2),18.4
2014,95% credible interval lower bound (option 2),17.6
2015,95% credible interval lower bound (option 2),16.9
2016,95% credible interval lower bound (option 2),16.6
2017,95% credible interval lower bound (option 2),16.8
2018,95% credible interval lower bound (option 2),17.1
2019,95% credible interval lower bound (option 2),17.3
2020,95% credible interval lower bound (option 2),17.5
2021,95% credible interval lower bound (option 2),17.6
2022,95% credible interval lower bound (option 2),17.2
1970,95% credible interval upper bound (option 2),100.0
1971,95% credible interval upper bound (option 2),91.8
1972,95% credible interval upper bound (option 2),86.1
1973,95% credible interval upper bound (option 2),82.6
1974,95% credible interval upper bound (option 2),81.1
1975,95% credible interval upper bound (option 2),80.8
1976,95% credible interval upper bound (option 2),81.0
1977,95% credible interval upper bound (option 2),80.4
1978,95% credible interval upper bound (option 2),78.2
1979,95% credible interval upper bound (option 2),74.7
1980,95% credible interval upper bound (option 2),71.7
1981,95% credible interval upper bound (option 2),69.8
1982,95% credible interval upper bound (option 2),68.8
1983,95% credible interval upper bound (option 2),67.9
1984,95% credible interval upper bound (option 2),66.4
1985,95% credible interval upper bound (option 2),64.4
1986,95% credible interval upper bound (option 2),61.6
1987,95% credible interval upper bound (option 2),58.7
1988,95% credible interval upper bound (option 2),55.9
