time_period,trend,percentage
Long term (1970–2016),Strong increase,14.917127
Long term (1970–2016),Weak increase,9.392265
Long term (1970–2016),Little or no change,37.569061
Long term (1970–2016),Weak decrease,20.994475
Long term (1970–2016),Strong decrease,17.127072
Short term (2011–2016),Strong increase,4.972376
Short term (2011–2016),Weak increase,8.287293
Short term (2011–2016),Little or no change,28.176796
Short term (2011–2016),Weak decrease,27.071823
Short term (2011–2016),Strong decrease,31.491713
