Year,Series,Value
2005,K1i (interim),74.9505817409298
2006,K1i (interim),83.0387966830247
2007,K1i (interim),71.5932087549943
2008,K1i (interim),61.2193894300221
2009,K1i (interim),53.8469045794297
2010,K1i (interim),51.613619944774
2011,K1i (interim),45.2531075599
2012,K1i (interim),52.9732795945286
2013,K1i (interim),41.4394910746189
2014,K1i (interim),39.6048627679937
2015,K1i (interim),35.6634487417824
2016,K1i (interim),33.0146433865705
2017,K1i (interim),31.1255167604321
2005,K1ii (interim),709.157194356474
2006,K1ii (interim),697.968179641102
2007,K1ii (interim),571.581066369556
2008,K1ii (interim),518.190287535397
2009,K1ii (interim),487.083490238978
2010,K1ii (interim),516.972610779266
2011,K1ii (interim),489.605484714798
2012,K1ii (interim),505.040552649687
2013,K1ii (interim),455.741311699496
2014,K1ii (interim),441.68551025744
2015,K1ii (interim),460.079363662168
2016,K1ii (interim),361.913299923881
2017,K1ii (interim),366.939946463987
