Year,Series,Status,Classification,Value
2004,B7a (interim),Not at risk,,23.809523809523807
2004,B7a (interim),Probably not at risk,,7.142857142857142
2004,B7a (interim),Probably at risk,,21.428571428571427
2004,B7a (interim),At risk,,47.61904761904761
2005,B7a (interim),Not at risk,,19.047619047619047
2005,B7a (interim),Probably not at risk,,19.047619047619047
2005,B7a (interim),Probably at risk,,14.285714285714285
2005,B7a (interim),At risk,,47.61904761904761
2006,B7a (interim),Not at risk,,21.428571428571427
2006,B7a (interim),Probably not at risk,,19.047619047619047
2006,B7a (interim),Probably at risk,,21.428571428571427
2006,B7a (interim),At risk,,38.095238095238095
2007,B7a (interim),Not at risk,,21.428571428571427
2007,B7a (interim),Probably not at risk,,21.428571428571427
2007,B7a (interim),Probably at risk,,16.666666666666664
2007,B7a (interim),At risk,,40.47619047619048
2008,B7a (interim),Not at risk,,23.809523809523807
2008,B7a (interim),Probably not at risk,,33.33333333333333
2008,B7a (interim),Probably at risk,,7.142857142857142
2008,B7a (interim),At risk,,35.714285714285715
2009,B7a (interim),Not at risk,,14.285714285714285
2009,B7a (interim),Probably not at risk,,30.952380952380956
2009,B7a (interim),Probably at risk,,23.809523809523807
2009,B7a (interim),At risk,,30.952380952380956
2010,B7a (interim),Not at risk,,26.190476190476197
2010,B7a (interim),Probably not at risk,,21.428571428571427
2010,B7a (interim),Probably at risk,,19.047619047619047
2010,B7a (interim),At risk,,33.33333333333333
2011,B7a (interim),Not at risk,,23.809523809523807
2011,B7a (interim),Probably not at risk,,23.809523809523807
2011,B7a (interim),Probably at risk,,28.57142857142857
2011,B7a (interim),At risk,,23.809523809523807
2012,B7a (interim),Not at risk,,16.666666666666664
2012,B7a (interim),Probably not at risk,,28.57142857142857
2012,B7a (interim),Probably at risk,,28.57142857142857
2012,B7a (interim),At risk,,26.190476190476197
2013,B7a (interim),Not at risk,,14.285714285714285
2013,B7a (interim),Probably not at risk,,16.666666666666664
2013,B7a (interim),Probably at risk,,30.952380952380956
2013,B7a (interim),At risk,,38.095238095238095
2014,B7a (interim),Not at risk,,0.0
2014,B7a (interim),Probably not at risk,,9.523809523809524
2014,B7a (interim),Probably at risk,,66.66666666666666
2014,B7a (interim),At risk,,23.809523809523807
2015,B7a (interim),Not at risk,,0.0
2015,B7a (interim),Probably not at risk,,19.047619047619047
2015,B7a (interim),Probably at risk,,52.38095238095239
2015,B7a (interim),At risk,,28.57142857142857
2016,B7a (interim),Not at risk,,0.0
2016,B7a (interim),Probably not at risk,,9.523809523809524
2016,B7a (interim),Probably at risk,,57.14285714285714
2016,B7a (interim),At risk,,33.33333333333333
2017,B7a (interim),Not at risk,,0.0
2017,B7a (interim),Probably not at risk,,14.285714285714285
2017,B7a (interim),Probably at risk,,64.28571428571429
2017,B7a (interim),At risk,,21.428571428571427
2018,B7a (interim),Not at risk,,0.0
2018,B7a (interim),Probably not at risk,,9.523809523809524
2018,B7a (interim),Probably at risk,,61.90476190476191
2018,B7a (interim),At risk,,28.57142857142857
2019,B7a (interim),Not at risk,,0.0
2019,B7a (interim),Probably not at risk,,7.0
2019,B7a (interim),Probably at risk,,36.0
2019,B7a (interim),At risk,,57.0
2020,B7a (interim),Not at risk,,2.380952380952381
2020,B7a (interim),Probably not at risk,,9.523809523809524
2020,B7a (interim),Probably at risk,,40.0
2020,B7a (interim),At risk,,48.0
2009,B7b (interim),,Bad,1.4835419564209549
2010,B7b (interim),,Bad,1.9964507542147296
2011,B7b (interim),,Bad,1.334481274214378
2012,B7b (interim),,Bad,1.342281879194631
2013,B7b (interim),,Bad,0.6910569105691057
2014,B7b (interim),,Bad,0.7154213036565978
2015 C1,B7b (interim),,Bad,0.7014809041309431
2015 C2,B7b (interim),,Bad,6.507592190889371
2016,B7b (interim),,Bad,6.44316396018858
2019,B7b (interim),,Bad,6.573705179282868
2009,B7b (interim),,Poor,24.385720908669448
2010,B7b (interim),,Poor,23.02573203194321
2011,B7b (interim),,Poor,21.351700387430046
2012,B7b (interim),,Poor,20.63758389261745
2013,B7b (interim),,Poor,20.040650406504064
2014,B7b (interim),,Poor,18.75993640699523
2015 C1,B7b (interim),,Poor,18.472330475448167
2015 C2,B7b (interim),,Poor,24.728850325379607
2016,B7b (interim),,Poor,24.67260345730749
2019,B7b (interim),,Poor,24.153386454183263
2009,B7b (interim),,Moderate,32.35975892443208
2010,B7b (interim),,Moderate,31.144631765749786
2011,B7b (interim),,Moderate,28.885062419285408
2012,B7b (interim),,Moderate,28.48154362416108
2013,B7b (interim),,Moderate,30.8130081300813
2014,B7b (interim),,Moderate,32.07472178060413
2015 C1,B7b (interim),,Moderate,32.774746687451284
2015 C2,B7b (interim),,Moderate,26.789587852494577
2016,B7b (interim),,Moderate,27.448926139339967
2019,B7b (interim),,Moderate,27.63944223107569
2009,B7b (interim),,Good,32.5452016689847
2010,B7b (interim),,Good,32.91925465838509
2011,B7b (interim),,Good,35.51442100731813
2012,B7b (interim),,Good,35.696308724832214
2013,B7b (interim),,Good,36.38211382113821
2014,B7b (interim),,Good,36.52623211446741
2015 C1,B7b (interim),,Good,35.26890101325019
2015 C2,B7b (interim),,Good,27.54880694143167
2016,B7b (interim),,Good,26.663174436877945
2019,B7b (interim),,Good,26.49402390438247
2009,B7b (interim),,High,9.225776541492811
2010,B7b (interim),,High,10.913930789707187
2011,B7b (interim),,High,12.914334911752048
2012,B7b (interim),,High,13.842281879194632
2013,B7b (interim),,High,12.073170731707316
2014,B7b (interim),,High,11.92368839427663
2015 C1,B7b (interim),,High,12.782540919719407
2015 C2,B7b (interim),,High,14.425162689804772
2016,B7b (interim),,High,14.772132006286013
2019,B7b (interim),,High,15.139442231075698
