Year,Category,Value
1984,Grassland,4817.567
1984,Crops,4338.735
1984,Uncropped arable,33.336
1985,Grassland,4744.702
1985,Crops,4395.629
1985,Uncropped arable,32.575
1986,Grassland,4707.587
1986,Crops,4416.442
1986,Uncropped arable,36.648
1987,Grassland,4692.2
1987,Crops,4443.7
1987,Uncropped arable,31.521
1988,Grassland,4660.638
1988,Crops,4435.448
1988,Uncropped arable,47.148
1989,Grassland,4655.653
1989,Crops,4361.763
1989,Uncropped arable,43.273
1990,Grassland,4691.827
1990,Crops,4265.726
1990,Uncropped arable,106.436
1991,Grassland,4687.217
1991,Crops,4222.054
1991,Uncropped arable,129.381
1992,Grassland,4619.0283
1992,Crops,4243.7307
1992,Uncropped arable,166.6356
1993,Grassland,4576.2826
1993,Crops,3839.0257
1993,Uncropped arable,616.4684
1994,Grassland,4540.99913
1994,Crops,3804.29456
1994,Uncropped arable,660.97778
1995,Grassland,4477.031059999999
1995,Crops,3852.07787
1995,Uncropped arable,577.10125
1996,Grassland,4426.053349303178
1996,Crops,4000.39031749521
1996,Uncropped arable,459.7810602188225
1997,Grassland,4348.579813
1997,Crops,4227.8289018000005
1997,Uncropped arable,280.881963
1998,Grassland,4309.446
1998,Crops,4215.79
1998,Uncropped arable,290.684
1999,Grassland,4267.554
1999,Crops,3992.173
1999,Uncropped arable,517.818
2000,Grassland,4133.307
2000,Crops,3971.208
2000,Uncropped arable,505.366
2001,Grassland,4315.783
2001,Crops,3785.852
2001,Uncropped arable,733.228
2002,Grassland,4316.096
2002,Crops,3902.2057846
2002,Uncropped arable,538.715
2003,Grassland,4315.972
2003,Crops,3813.0046619
2003,Uncropped arable,606.759
2004,Grassland,4329.173
2004,Crops,3911.430700471061
2004,Uncropped arable,496.31727212893895
2005,Grassland,4403.086
2005,Crops,3869.9489089847953
2005,Uncropped arable,530.3030027152045
2006,Grassland,4589.696
2006,Crops,3787.4497633976825
2006,Uncropped arable,493.60592328917386
2007,Grassland,4571.333
2007,Crops,3799.775092200001
2007,Uncropped arable,423.465
2008,Grassland,4643.266819999999
2008,Crops,4030.990839717658
2008,Uncropped arable,159.42257
2009,Grassland,4397.179539699998
2009,Crops,3900.785597471176
2009,Uncropped arable,220.70272990000333
2010,Grassland,4368.104
2010,Crops,3917.8420937
2010,Uncropped arable,149.316
2011,Grassland,4355.788
2011,Crops,3961.4054055
2011,Uncropped arable,138.598
2012,Grassland,4347.1
2012,Crops,4036.0067992
2012,Uncropped arable,136.106
2013,Grassland,4412.696
2013,Crops,3960.1333833
2013,Uncropped arable,237.422
2014,Grassland,4399.743
2014,Crops,4009.5326407
2014,Uncropped arable,146.305
2015,Grassland,4341.348
2015,Crops,3983.870082
2015,Uncropped arable,178.809
2016,Grassland,4387.975
2016,Crops,3992.7551794
2016,Uncropped arable,216.19
2017,Grassland,4397.513
2017,Crops,4054.1683875
2017,Uncropped arable,200.049
2018,Grassland,4408.069
2018,Crops,3991.7414029
2018,Uncropped arable,225.394
2019,Grassland,4431.719
2019,Crops,4027.6478678
2019,Uncropped arable,190.909
2020,Grassland,4389.764
2020,Crops,3803.2133742
2020,Uncropped arable,326.162
2021,Grassland,4313.954
2021,Crops,3876.459826
2021,Uncropped arable,230.909
