Year,Value
1973,100.0
1974,106.2703725808669
1975,102.46637125367086
1976,98.2298125122008
1977,105.16255600519791
1978,109.3218323899862
1979,109.61085908456268
1980,114.70098703395676
1981,116.73346256586414
1982,119.5227420178417
1983,116.6758028893837
1984,127.5881858408712
1985,122.7927322800959
1986,123.29905277461346
1987,121.78241836469456
1988,121.27602740940316
1989,125.08455083370762
1990,125.8192445018802
1991,129.16723284409042
1992,130.66732402942293
1993,127.5314308945487
1994,128.65708171718225
1995,127.22283119118649
1996,126.23335620313804
1997,128.0620280337567
1998,131.21311619244443
1999,136.74188734680362
2000,139.4224875771826
2001,136.75434827314007
2002,144.87498217701585
2003,145.13878226586272
2004,145.63472161512584
2005,150.0376751172821
2006,148.03432043463835
2007,145.80474719017224
2008,151.8453511823871
2009,147.65785925819316
2010,147.0699287898557
2011,153.96134812334253
2012,145.86107880622924
2013,146.3582987756807
2014,155.2430685259709
2015,156.59938679063455
2016,151.80908098835835
2017,157.1468019029189
2018,155.66051115286692
2019,161.44117257119473
2020,154.18495713455331
