Year,Series,Frequency of visits,Value
2009-2010,G4a (interim),At least once a week,53.51063433492184
2009-2010,G4a (interim),Less than once a month,16.844940430847583
2009-2010,G4a (interim),Never,9.597450012148666
2009-2010,G4a (interim),Once or twice a month,20.04697522208193
2010-2011,G4a (interim),At least once a week,53.40677384536332
2010-2011,G4a (interim),Less than once a month,15.91611049771184
2010-2011,G4a (interim),Never,9.29541622595772
2010-2011,G4a (interim),Once or twice a month,21.38169943096713
2011-2012,G4a (interim),At least once a week,54.94014574908446
2011-2012,G4a (interim),Less than once a month,16.064373233071272
2011-2012,G4a (interim),Never,8.399359258783152
2011-2012,G4a (interim),Once or twice a month,20.596121759061106
2012-2013,G4a (interim),At least once a week,54.70152977110495
2012-2013,G4a (interim),Less than once a month,16.25733124206386
2012-2013,G4a (interim),Never,8.841757936514675
2012-2013,G4a (interim),Once or twice a month,20.19938105031652
2013-2014,G4a (interim),At least once a week,57.63777973562229
2013-2014,G4a (interim),Less than once a month,14.96308031307048
2013-2014,G4a (interim),Never,7.561518194590036
2013-2014,G4a (interim),Once or twice a month,19.8376217567172
2014-2015,G4a (interim),At least once a week,58.9442333948777
2014-2015,G4a (interim),Less than once a month,13.686279387726383
2014-2015,G4a (interim),Never,8.423671586388004
2014-2015,G4a (interim),Once or twice a month,18.945815631007925
2015-2016,G4a (interim),At least once a week,57.578324124481206
2015-2016,G4a (interim),Less than once a month,13.689267864701703
2015-2016,G4a (interim),Never,9.738912906767077
2015-2016,G4a (interim),Once or twice a month,18.99349510405003
2016-2017,G4a (interim),At least once a week,63.8805106497575
2016-2017,G4a (interim),Less than once a month,10.813778632634335
2016-2017,G4a (interim),Never,7.672635101976782
2016-2017,G4a (interim),Once or twice a month,17.633075615631384
2017-2018,G4a (interim),At least once a week,62.37416161265305
2017-2018,G4a (interim),Less than once a month,10.575098321458537
2017-2018,G4a (interim),Never,7.620898219801441
2017-2018,G4a (interim),Once or twice a month,19.42984184608698
2018-2019,G4a (interim),At least once a week,64.68959762713477
2018-2019,G4a (interim),Less than once a month,9.867864062691131
2018-2019,G4a (interim),Never,5.996852875723452
2018-2019,G4a (interim),Once or twice a month,19.44568543445063
At least once a week,G4b (interim),,71.3
Once or twice a month,G4b (interim),,11.1
Less than once a month,G4b (interim),,13.6
Never,G4b (interim),,4.0
