Year,Pollutant,Value
1998,NH3,100.0
1998,NOX,100.0
1998,SO2,100.0
1998,NMVOC,100.0
1998,PM2.5,100.0
1999,NH3,97.97645693270762
1999,NOX,94.11532751390364
1999,SO2,75.38672375866639
1999,NMVOC,90.01151370663013
1999,PM2.5,99.10527200692876
2000,NH3,95.66594445041888
2000,NOX,89.90730429644067
2000,SO2,71.13317499439167
2000,NMVOC,81.66247514274102
2000,PM2.5,90.36510476885424
2001,NH3,92.12316688160874
2001,NOX,88.34418882609911
2001,SO2,65.82975652042877
2001,NMVOC,77.85973463368012
2001,PM2.5,90.2340346050448
2002,NH3,91.6082486264648
2002,NOX,83.51875213349163
2002,SO2,60.05170870197404
2002,NMVOC,72.14202735476411
2002,PM2.5,80.91465558386709
2003,NH3,88.50258678160536
2003,NOX,82.84705481816789
2003,SO2,59.33616443854021
2003,NMVOC,67.746040993251
2003,PM2.5,82.18605340527829
2004,NH3,90.380141166428
2004,NOX,80.20891264529251
2004,SO2,49.456885263835325
2004,NMVOC,63.66960405243066
2004,PM2.5,79.90645894333676
2005,NH3,87.67892921809658
2005,NOX,79.77478445346686
2005,SO2,42.14641235793835
2005,NMVOC,59.7219956580466
2005,PM2.5,78.53343405009366
2006,NH3,86.33386689693936
2006,NOX,76.29877135695712
2006,SO2,38.20953585621236
2006,NMVOC,56.84246279568968
2006,PM2.5,76.7225349565486
2007,NH3,84.70841149343603
2007,NOX,74.06555484719829
2007,SO2,33.76574671468484
2007,NMVOC,53.87315717251818
2007,PM2.5,72.81450071820294
2008,NH3,79.94779899069921
2008,NOX,65.11667041450119
2008,SO2,27.846242321784587
2008,NMVOC,49.98106494186474
2008,PM2.5,73.1428210651086
2009,NH3,80.90544425801679
2009,NOX,56.35574539975278
2009,SO2,22.3087258951794
2009,NMVOC,44.553441306529656
2009,PM2.5,69.65454205329368
2010,NH3,80.86702441760626
2010,NOX,54.84433425595676
2010,SO2,22.35048287503872
2010,NMVOC,43.07668842283442
2010,PM2.5,74.674736704181
2011,NH3,82.73458066441131
2011,NOX,51.147775565904695
2011,SO2,21.73263715123837
2011,NMVOC,41.83369057376273
2011,PM2.5,67.1817679680077
2012,NH3,81.20546806800927
2012,NOX,52.21492731707018
2012,SO2,25.260157039866375
2012,NMVOC,40.55738088268688
2012,PM2.5,71.20219802489616
2013,NH3,79.46941992697415
2013,NOX,49.296411740529
2013,SO2,21.520136504777344
2013,NMVOC,38.87350650342695
2013,PM2.5,72.22018218416719
2014,NH3,84.05797787382507
2014,NOX,45.98699893672655
2014,SO2,17.58638279397817
2014,NMVOC,38.6308306661626
2014,PM2.5,68.1730269431047
2015,NH3,85.40198440299687
2015,NOX,43.62935036638378
2015,SO2,13.15204645546991
2015,NMVOC,38.37687212201867
2015,PM2.5,68.36806613795191
2016,NH3,86.04639940900188
2016,NOX,38.93507068740099
2016,SO2,9.221890710939231
2016,NMVOC,37.51082868905855
2016,PM2.5,67.2708623351872
2017,NH3,86.57469493221295
2017,NOX,38.01850332932381
2017,SO2,9.384842201202837
2017,NMVOC,37.521250573464734
2017,PM2.5,67.07694047396278
2018,NH3,86.4915877616286
2018,NOX,36.73140436187335
2018,SO2,8.498321417399394
2018,NMVOC,37.448929495735854
2018,PM2.5,68.41388262565621
