Year,Sector,Value
1990,Forestry sink,-7626.2290988793375
1990,Agriculture,33483.07873742323
1990,Fluorinated gases,16887.778045524945
1990,Land use & land use change,7882.721312150671
1990,Waste,55507.63519354535
1990,Net total including forestry sink,106134.98418976486
1991,Forestry sink,
1992,Forestry sink,
1993,Forestry sink,
1994,Forestry sink,
1995,Forestry sink,-7791.859560919337
1995,Agriculture,32023.74869828187
1995,Fluorinated gases,20441.77492648161
1995,Land use & land use change,7373.652116534347
1995,Waste,57638.60842208478
1995,Net total including forestry sink,109685.92460246326
1996,Forestry sink,
1997,Forestry sink,
1998,Forestry sink,-8149.439474513337
1998,Agriculture,31845.28008607707
1998,Fluorinated gases,20963.83956248277
1998,Land use & land use change,6799.981626750673
1998,Waste,56539.74806243974
1998,Net total including forestry sink,107999.40986323691
1999,Forestry sink,-8244.067809014341
1999,Agriculture,31873.30121102925
1999,Fluorinated gases,12479.670453866203
1999,Land use & land use change,7425.123367452999
1999,Waste,54167.41646538211
1999,Net total including forestry sink,97701.44368871624
2000,Forestry sink,-8360.739444596007
2000,Agriculture,30221.89222724697
2000,Fluorinated gases,11092.702624429005
2000,Land use & land use change,7425.380055014006
2000,Waste,52060.97926308794
2000,Net total including forestry sink,92440.21472518193
2001,Forestry sink,-8466.880279125344
2001,Agriculture,28294.92916821951
2001,Fluorinated gases,11532.828693897958
2001,Land use & land use change,7232.145299247676
2001,Waste,50419.77220063584
2001,Net total including forestry sink,89012.79508287564
2002,Forestry sink,-8576.382678126349
2002,Agriculture,28197.27553240599
2002,Fluorinated gases,11823.86813388577
2002,Land use & land use change,6939.836984832005
2002,Waste,49461.40430865094
2002,Net total including forestry sink,87846.00228164837
2003,Forestry sink,-8631.57600725301
2003,Agriculture,28731.493901080667
2003,Fluorinated gases,12867.26703148636
2003,Land use & land use change,6788.56764208568
2003,Waste,46054.59260361729
2003,Net total including forestry sink,85810.34517101699
2004,Forestry sink,-8600.864765933678
2004,Agriculture,28713.291529541995
2004,Fluorinated gases,11704.081216840608
2004,Land use & land use change,6292.133617126006
2004,Waste,42549.08075373847
2004,Net total including forestry sink,80657.7223513134
2005,Forestry sink,-8567.856726218006
2005,Agriculture,28445.82046503264
2005,Fluorinated gases,12668.404838080389
2005,Land use & land use change,6099.249181067333
2005,Waste,40463.78027478012
2005,Net total including forestry sink,79109.39803274247
2006,Forestry sink,-8503.880834256344
2006,Agriculture,27724.889088987435
2006,Fluorinated gases,13276.714180227407
2006,Land use & land use change,5809.242275886334
2006,Waste,37815.6960962756
2006,Net total including forestry sink,76122.66080712044
2007,Forestry sink,-8502.695520597345
2007,Agriculture,27120.47589022789
2007,Fluorinated gases,13498.427501160151
2007,Land use & land use change,5501.862600522666
2007,Waste,35307.6517496803
2007,Net total including forestry sink,72925.72222099366
2008,Forestry sink,-8585.344845453668
2008,Agriculture,26851.8829060396
2008,Fluorinated gases,13736.867692885697
2008,Land use & land use change,5273.749218000011
2008,Waste,31445.170069646367
2008,Net total including forestry sink,68722.325041118
2009,Forestry sink,-8560.930688829678
2009,Agriculture,26605.675121963566
2009,Fluorinated gases,14047.728400566008
2009,Land use & land use change,5237.736545219001
2009,Waste,28162.65830279475
2009,Net total including forestry sink,65492.86768171365
2010,Forestry sink,-8702.441574160679
2010,Agriculture,26592.452653592496
2010,Fluorinated gases,15049.19812789376
2010,Land use & land use change,5092.267030184337
2010,Waste,24237.70470425978
2010,Net total including forestry sink,62269.18094176969
2011,Forestry sink,-8789.435981882008
2011,Agriculture,26739.501809562207
2011,Fluorinated gases,13796.139124922847
2011,Land use & land use change,4948.852650920015
2011,Waste,22435.59827362441
2011,Net total including forestry sink,59130.655877147474
2012,Forestry sink,-8732.142434454678
2012,Agriculture,26495.213768025347
2012,Fluorinated gases,13817.339464306322
2012,Land use & land use change,4757.238781190004
2012,Waste,21492.11898290436
2012,Net total including forestry sink,57829.76856197136
2013,Forestry sink,-8739.836677115676
2013,Agriculture,26262.89270501769
2013,Fluorinated gases,14037.17308425194
2013,Land use & land use change,4486.895979208677
2013,Waste,19372.33588317501
2013,Net total including forestry sink,55419.46097453764
2014,Forestry sink,-8739.734386068676
2014,Agriculture,27262.799212761325
2014,Fluorinated gases,14103.286004751926
2014,Land use & land use change,4349.375251750331
2014,Waste,17708.69734566574
2014,Net total including forestry sink,54684.42342886065
2015,Forestry sink,-8757.918182905343
2015,Agriculture,27006.23639310417
2015,Fluorinated gases,14140.009909620563
2015,Land use & land use change,4187.479215217993
2015,Waste,16940.514732791526
2015,Net total including forestry sink,53516.32206782891
2016,Forestry sink,-8819.00826829601
2016,Agriculture,26828.508323352653
2016,Fluorinated gases,13521.385972847202
2016,Land use & land use change,4303.397911721661
2016,Waste,16437.123344222447
2016,Net total including forestry sink,52271.40728384796
2017,Forestry sink,-8744.519188629012
2017,Agriculture,27162.929611165928
2017,Fluorinated gases,12775.122023106162
2017,Land use & land use change,4025.832571966999
2017,Waste,16805.735928898182
2017,Net total including forestry sink,52025.10094650825
2018,Forestry sink,-8720.092490901345
2018,Agriculture,27005.555379505942
2018,Fluorinated gases,11669.71840040683
2018,Land use & land use change,3803.436910039668
2018,Waste,17027.476691665106
2018,Net total including forestry sink,50786.0948907162
