Year,Ecosystem,Protection,Value
Wider Caribbean,Marine,Percentage of total area protected,0.1068421401938608
Wider Caribbean,Terrestrial,Percentage of total area protected,14.795474325500436
South Atlantic,Marine,Percentage of total area protected,84.43730539129562
South Atlantic,Terrestrial,Percentage of total area protected,3.0816640986132517
Indian and Pacific Oceans,Marine,Percentage of total area protected,99.98222996986529
Indian and Pacific Oceans,Terrestrial,Percentage of total area protected,60.5577419478983
Mediterranean,Marine,Percentage of total area protected,18.59504132231405
Mediterranean,Terrestrial,Percentage of total area protected,38.31417624521073
All UKOTs,Marine,Percentage of total area protected,74.95086233364559
All UKOTs,Terrestrial,Percentage of total area protected,4.690494982523396
Wider Caribbean,Marine,Percentage of total area unprotected,99.89315785980614
Wider Caribbean,Terrestrial,Percentage of total area unprotected,85.20452567449956
South Atlantic,Marine,Percentage of total area unprotected,15.562694608704374
South Atlantic,Terrestrial,Percentage of total area unprotected,96.91833590138675
Indian and Pacific Oceans,Marine,Percentage of total area unprotected,0.0177700301347279
Indian and Pacific Oceans,Terrestrial,Percentage of total area unprotected,39.4422580521017
Mediterranean,Marine,Percentage of total area unprotected,81.40495867768594
Mediterranean,Terrestrial,Percentage of total area unprotected,61.68582375478927
All UKOTs,Marine,Percentage of total area unprotected,25.049137666354422
All UKOTs,Terrestrial,Percentage of total area unprotected,95.3095050174766
