Year,Series,Site Type,Site Condition,Value
1999,D2a (interim),Sites on land & water,,0.9601646
2000,D2a (interim),Sites on land & water,,0.968064186201
2001,D2a (interim),Sites on land & water,,1.01207957
2002,D2a (interim),Sites on land & water,,1.01206406
2003,D2a (interim),Sites on land & water,,1.01257787
2004,D2a (interim),Sites on land & water,,1.0141312
2005,D2a (interim),Sites on land & water,,1.015185886102
2006,D2a (interim),Sites on land & water,,1.01556815
2007,D2a (interim),Sites on land & water,,1.01842419
2008,D2a (interim),Sites on land & water,,1.030920635122
2009,D2a (interim),Sites on land & water,,1.028507513103
2010,D2a (interim),Sites on land & water,,1.0349163
2011,D2a (interim),Sites on land & water,,1.03366791
2012,D2a (interim),Sites on land & water,,1.03907937
2013,D2a (interim),Sites on land & water,,1.040784
2014,D2a (interim),Sites on land & water,,1.00380096834936
2015,D2a (interim),Sites on land & water,,1.0046966659759813
2016,D2a (interim),Sites on land & water,,1.006939
2017,D2a (interim),Sites on land & water,,1.015249
2018,D2a (interim),Sites on land & water,,1.017777216795338
2019,D2a (interim),Sites on land & water,,1.0192901554976614
2020,D2a (interim),Sites on land & water,,1.0206934365963123
1999,D2a (interim),Sites at sea,,0.25029965
2000,D2a (interim),Sites at sea,,0.252820679856
2001,D2a (interim),Sites at sea,,0.25650011
2002,D2a (interim),Sites at sea,,0.25518971
2003,D2a (interim),Sites at sea,,0.2551923
2004,D2a (interim),Sites at sea,,0.27336389
2005,D2a (interim),Sites at sea,,0.27529862658099996
2006,D2a (interim),Sites at sea,,0.27373641000000004
2007,D2a (interim),Sites at sea,,0.2740992
2008,D2a (interim),Sites at sea,,0.294540059653
2009,D2a (interim),Sites at sea,,0.294490983009
2010,D2a (interim),Sites at sea,,0.294539914812
2011,D2a (interim),Sites at sea,,0.294503665093
2012,D2a (interim),Sites at sea,,0.998723
2013,D2a (interim),Sites at sea,,0.997018
2014,D2a (interim),Sites at sea,,1.1063874688415452
2015,D2a (interim),Sites at sea,,1.1000562307299422
2016,D2a (interim),Sites at sea,,1.339596
2017,D2a (interim),Sites at sea,,1.340737
2018,D2a (interim),Sites at sea,,1.6818075899776523
2019,D2a (interim),Sites at sea,,1.68677092031099
2020,D2a (interim),Sites at sea,,2.413087286959085
2003,D2b (interim),,Favourable condition,43.975613674531175
2004,D2b (interim),,Favourable condition,45.82208135461949
2005,D2b (interim),,Favourable condition,45.02
2006,D2b (interim),,Favourable condition,45.26
2007,D2b (interim),,Favourable condition,44.84
2008,D2b (interim),,Favourable condition,44.53612744839554
2009,D2b (interim),,Favourable condition,44.019236079786914
2010,D2b (interim),,Favourable condition,43.23627166666648
2011,D2b (interim),,Favourable condition,36.57462659615091
2012,D2b (interim),,Favourable condition,37.2404309817191
2013,D2b (interim),,Favourable condition,37.5485918181625
2014,D2b (interim),,Favourable condition,37.54
2015,D2b (interim),,Favourable condition,37.49962312174725
2016,D2b (interim),,Favourable condition,38.54049661104492
2017,D2b (interim),,Favourable condition,38.71165531954694
2018,D2b (interim),,Favourable condition,38.7521177080357
2019,D2b (interim),,Favourable condition,38.89314300940309
2020,D2b (interim),,Favourable condition,38.8769780918938
2003,D2b (interim),,Unfavourable recovering condition,12.95695093152859
2004,D2b (interim),,Unfavourable recovering condition,17.03698980787908
2005,D2b (interim),,Unfavourable recovering condition,22.34
2006,D2b (interim),,Unfavourable recovering condition,27.01
2007,D2b (interim),,Unfavourable recovering condition,30.55
2008,D2b (interim),,Unfavourable recovering condition,38.14121326911292
2009,D2b (interim),,Unfavourable recovering condition,44.38532085218138
2010,D2b (interim),,Unfavourable recovering condition,49.83979449780295
2011,D2b (interim),,Unfavourable recovering condition,60.04960487584642
2012,D2b (interim),,Unfavourable recovering condition,59.4033734828451
2013,D2b (interim),,Unfavourable recovering condition,58.56241148275048
2014,D2b (interim),,Unfavourable recovering condition,58.64
2015,D2b (interim),,Unfavourable recovering condition,58.4354439088964
2016,D2b (interim),,Unfavourable recovering condition,57.2615765261817
2017,D2b (interim),,Unfavourable recovering condition,56.05184381362982
2018,D2b (interim),,Unfavourable recovering condition,55.53311837450401
2019,D2b (interim),,Unfavourable recovering condition,54.65602224192612
2020,D2b (interim),,Unfavourable recovering condition,54.2444115114576
