Year,Series,Trendline,Value
1970,D4a (interim),Unsmoothed Index,100.0
1971,D4a (interim),Unsmoothed Index,106.10456444943226
1972,D4a (interim),Unsmoothed Index,112.47652261857498
1973,D4a (interim),Unsmoothed Index,110.99471733704954
1974,D4a (interim),Unsmoothed Index,110.59912886927644
1975,D4a (interim),Unsmoothed Index,110.88936033915137
1976,D4a (interim),Unsmoothed Index,103.9383023701673
1977,D4a (interim),Unsmoothed Index,110.20594798419133
1978,D4a (interim),Unsmoothed Index,101.62996567315584
1979,D4a (interim),Unsmoothed Index,93.59383465459489
1980,D4a (interim),Unsmoothed Index,104.5210240054815
1981,D4a (interim),Unsmoothed Index,105.69738601239438
1982,D4a (interim),Unsmoothed Index,96.31381977600336
1983,D4a (interim),Unsmoothed Index,102.8589465323892
1984,D4a (interim),Unsmoothed Index,102.75575942508648
1985,D4a (interim),Unsmoothed Index,101.52988348407337
1986,D4a (interim),Unsmoothed Index,90.27558873096793
1987,D4a (interim),Unsmoothed Index,92.74336300831185
1988,D4a (interim),Unsmoothed Index,98.21706703451196
1989,D4a (interim),Unsmoothed Index,100.41727954451731
1990,D4a (interim),Unsmoothed Index,94.77550016069726
1991,D4a (interim),Unsmoothed Index,86.19201432848578
1992,D4a (interim),Unsmoothed Index,83.70031213497757
1993,D4a (interim),Unsmoothed Index,84.02696364142702
1994,D4a (interim),Unsmoothed Index,84.30237075873546
1995,D4a (interim),Unsmoothed Index,80.05011471745327
1996,D4a (interim),Unsmoothed Index,84.25619443384882
1997,D4a (interim),Unsmoothed Index,79.20879023652172
1998,D4a (interim),Unsmoothed Index,81.60795794431358
1999,D4a (interim),Unsmoothed Index,82.55713545689797
2000,D4a (interim),Unsmoothed Index,83.94928655306829
2001,D4a (interim),Unsmoothed Index,81.04267486705568
2002,D4a (interim),Unsmoothed Index,77.32423663846728
2003,D4a (interim),Unsmoothed Index,77.59450137812635
2004,D4a (interim),Unsmoothed Index,77.87966712389104
2005,D4a (interim),Unsmoothed Index,79.83153381178427
2006,D4a (interim),Unsmoothed Index,80.46805416989383
2007,D4a (interim),Unsmoothed Index,79.66716280601223
2008,D4a (interim),Unsmoothed Index,79.29537031463957
2009,D4a (interim),Unsmoothed Index,73.58735639014515
2010,D4a (interim),Unsmoothed Index,79.66719903927141
2011,D4a (interim),Unsmoothed Index,86.13170199598618
2012,D4a (interim),Unsmoothed Index,81.46579831430375
2013,D4a (interim),Unsmoothed Index,72.7713842475452
2014,D4a (interim),Unsmoothed Index,78.00322370644862
2015,D4a (interim),Unsmoothed Index,78.54943308105165
2016,D4a (interim),Unsmoothed Index,76.5096222812873
2017,D4a (interim),Unsmoothed Index,73.7420790131883
2018,D4a (interim),Unsmoothed Index,72.77284529864694
2019,D4a (interim),Unsmoothed Index,73.23034920865992
1970,D4a (interim),Smoothed Index (SI),100.0
1971,D4a (interim),Smoothed Index (SI),103.20094537206646
1972,D4a (interim),Smoothed Index (SI),105.8775929366331
1973,D4a (interim),Smoothed Index (SI),107.10383774923618
1974,D4a (interim),Smoothed Index (SI),106.95524281610138
1975,D4a (interim),Smoothed Index (SI),105.86492705385442
1976,D4a (interim),Smoothed Index (SI),104.12865505023755
1977,D4a (interim),Smoothed Index (SI),102.05636538764185
1978,D4a (interim),Smoothed Index (SI),99.66742711143492
1979,D4a (interim),Smoothed Index (SI),98.0575834935927
1980,D4a (interim),Smoothed Index (SI),97.91148269142114
1981,D4a (interim),Smoothed Index (SI),98.08403706923376
1982,D4a (interim),Smoothed Index (SI),97.90196784385608
1983,D4a (interim),Smoothed Index (SI),97.67450400511952
1984,D4a (interim),Smoothed Index (SI),96.92042207890164
1985,D4a (interim),Smoothed Index (SI),95.41395375955
1986,D4a (interim),Smoothed Index (SI),93.77843552917857
1987,D4a (interim),Smoothed Index (SI),93.20898280853103
1988,D4a (interim),Smoothed Index (SI),93.32500062115612
1989,D4a (interim),Smoothed Index (SI),92.56966251842312
1990,D4a (interim),Smoothed Index (SI),90.1373610283382
1991,D4a (interim),Smoothed Index (SI),86.78718773823253
1992,D4a (interim),Smoothed Index (SI),83.87972011592686
1993,D4a (interim),Smoothed Index (SI),82.00254896928773
1994,D4a (interim),Smoothed Index (SI),80.89949594000355
1995,D4a (interim),Smoothed Index (SI),80.28745191246678
1996,D4a (interim),Smoothed Index (SI),79.85659171290992
1997,D4a (interim),Smoothed Index (SI),79.59899199552916
1998,D4a (interim),Smoothed Index (SI),79.79293488794734
1999,D4a (interim),Smoothed Index (SI),80.0480679641868
2000,D4a (interim),Smoothed Index (SI),79.72603533945052
2001,D4a (interim),Smoothed Index (SI),78.64061229039014
2002,D4a (interim),Smoothed Index (SI),77.38287322161574
2003,D4a (interim),Smoothed Index (SI),76.63814561970092
2004,D4a (interim),Smoothed Index (SI),76.59031868516784
2005,D4a (interim),Smoothed Index (SI),76.98275587012887
2006,D4a (interim),Smoothed Index (SI),77.3169894850316
2007,D4a (interim),Smoothed Index (SI),77.392357702024
2008,D4a (interim),Smoothed Index (SI),77.4642715791364
2009,D4a (interim),Smoothed Index (SI),77.87640680181997
2010,D4a (interim),Smoothed Index (SI),78.79224231097172
2011,D4a (interim),Smoothed Index (SI),79.33012807697588
2012,D4a (interim),Smoothed Index (SI),78.57705801152808
2013,D4a (interim),Smoothed Index (SI),77.07773104174139
2014,D4a (interim),Smoothed Index (SI),75.95818760080554
2015,D4a (interim),Smoothed Index (SI),75.10839189703644
2016,D4a (interim),Smoothed Index (SI),74.23565081402671
2017,D4a (interim),Smoothed Index (SI),73.34421288441666
