Year,Series,Trendline type,Category,Value
1970,D6ai (interim),Index value,,100.0
1971,D6ai (interim),Index value,,85.40401896
1972,D6ai (interim),Index value,,76.76269742
1973,D6ai (interim),Index value,,73.95476013
1974,D6ai (interim),Index value,,72.38319481
1975,D6ai (interim),Index value,,73.47813293
1976,D6ai (interim),Index value,,77.23016368
1977,D6ai (interim),Index value,,73.09892771
1978,D6ai (interim),Index value,,69.00228363
1979,D6ai (interim),Index value,,64.49764331
1980,D6ai (interim),Index value,,59.20202921
1981,D6ai (interim),Index value,,56.34980532
1982,D6ai (interim),Index value,,57.87015369
1983,D6ai (interim),Index value,,57.77604325
1984,D6ai (interim),Index value,,57.11804958
1985,D6ai (interim),Index value,,52.42375097
1986,D6ai (interim),Index value,,49.54449931
1987,D6ai (interim),Index value,,47.00468773
1988,D6ai (interim),Index value,,44.66024646
1989,D6ai (interim),Index value,,44.57895669
1990,D6ai (interim),Index value,,44.23989864
1991,D6ai (interim),Index value,,42.65985561
1992,D6ai (interim),Index value,,40.68860413
1993,D6ai (interim),Index value,,37.79262034
1994,D6ai (interim),Index value,,36.12390557
1995,D6ai (interim),Index value,,35.4599056
1996,D6ai (interim),Index value,,33.43553896
1997,D6ai (interim),Index value,,30.02396474
1998,D6ai (interim),Index value,,26.35632926
1999,D6ai (interim),Index value,,24.3757783
2000,D6ai (interim),Index value,,23.54116096
2001,D6ai (interim),Index value,,24.2511843
2002,D6ai (interim),Index value,,25.30344019
2003,D6ai (interim),Index value,,26.48875721
2004,D6ai (interim),Index value,,26.32293772
2005,D6ai (interim),Index value,,24.9776572
2006,D6ai (interim),Index value,,23.70698303
2007,D6ai (interim),Index value,,22.17897332
2008,D6ai (interim),Index value,,22.45741742
2009,D6ai (interim),Index value,,23.65426074
2010,D6ai (interim),Index value,,24.43103438
2011,D6ai (interim),Index value,,24.052304
2012,D6ai (interim),Index value,,21.95645826
2013,D6ai (interim),Index value,,21.33801481
2014,D6ai (interim),Index value,,20.57149913
2015,D6ai (interim),Index value,,19.4860383
2016,D6ai (interim),Index value,,18.3323532
2017,D6ai (interim),Index value,,17.8001057
2018,D6ai (interim),Index value,,17.67991012
1970,D6ai (interim),95% Credible interval min,,87.38723351
1971,D6ai (interim),95% Credible interval min,,74.52075482
1972,D6ai (interim),95% Credible interval min,,67.12303353
1973,D6ai (interim),95% Credible interval min,,64.99717129
1974,D6ai (interim),95% Credible interval min,,64.17381642
1975,D6ai (interim),95% Credible interval min,,65.51113574
1976,D6ai (interim),95% Credible interval min,,69.08097687
1977,D6ai (interim),95% Credible interval min,,65.48386892
1978,D6ai (interim),95% Credible interval min,,62.1222718
1979,D6ai (interim),95% Credible interval min,,58.39765902
1980,D6ai (interim),95% Credible interval min,,53.52844331
1981,D6ai (interim),95% Credible interval min,,51.15248623
1982,D6ai (interim),95% Credible interval min,,52.80689445
1983,D6ai (interim),95% Credible interval min,,52.78385878
