Year,Series,Trendline,Category,Value
1980,D7i (interim),Indicator (mean occupancy),,100.0
1981,D7i (interim),Indicator (mean occupancy),,97.85169299286748
1982,D7i (interim),Indicator (mean occupancy),,97.59985683369604
1983,D7i (interim),Indicator (mean occupancy),,97.38070884171384
1984,D7i (interim),Indicator (mean occupancy),,98.66022503699836
1985,D7i (interim),Indicator (mean occupancy),,100.8970605024404
1986,D7i (interim),Indicator (mean occupancy),,102.621370084798
1987,D7i (interim),Indicator (mean occupancy),,105.41467321576764
1988,D7i (interim),Indicator (mean occupancy),,101.23147494768769
1989,D7i (interim),Indicator (mean occupancy),,98.19500633718437
1990,D7i (interim),Indicator (mean occupancy),,95.73451174062158
1991,D7i (interim),Indicator (mean occupancy),,93.84268182694788
1992,D7i (interim),Indicator (mean occupancy),,93.33918766577708
1993,D7i (interim),Indicator (mean occupancy),,92.84001303429302
1994,D7i (interim),Indicator (mean occupancy),,94.1555438463688
1995,D7i (interim),Indicator (mean occupancy),,92.78704271052092
1996,D7i (interim),Indicator (mean occupancy),,90.21152470517458
1997,D7i (interim),Indicator (mean occupancy),,86.89566632990397
1998,D7i (interim),Indicator (mean occupancy),,84.38509615527227
1999,D7i (interim),Indicator (mean occupancy),,83.54746305145477
2000,D7i (interim),Indicator (mean occupancy),,82.21016113185198
2001,D7i (interim),Indicator (mean occupancy),,80.29375454123232
2002,D7i (interim),Indicator (mean occupancy),,81.58683924928066
2003,D7i (interim),Indicator (mean occupancy),,81.8541342992891
2004,D7i (interim),Indicator (mean occupancy),,80.685404299753
2005,D7i (interim),Indicator (mean occupancy),,80.43269006141799
2006,D7i (interim),Indicator (mean occupancy),,81.29942830066321
2007,D7i (interim),Indicator (mean occupancy),,80.00684516848503
2008,D7i (interim),Indicator (mean occupancy),,79.09277200966719
2009,D7i (interim),Indicator (mean occupancy),,77.7909166150883
2010,D7i (interim),Indicator (mean occupancy),,75.4300542081724
2011,D7i (interim),Indicator (mean occupancy),,72.88326748388978
2012,D7i (interim),Indicator (mean occupancy),,71.13967778986724
2013,D7i (interim),Indicator (mean occupancy),,70.17930135204028
2014,D7i (interim),Indicator (mean occupancy),,70.16136362473185
2015,D7i (interim),Indicator (mean occupancy),,69.84981709218958
2016,D7i (interim),Indicator (mean occupancy),,70.2027670745879
2017,D7i (interim),Indicator (mean occupancy),,69.9426781235967
1980,D7i (interim),90% credible interval - minimum,,100.0
1981,D7i (interim),90% credible interval - minimum,,95.35201663637378
1982,D7i (interim),90% credible interval - minimum,,94.26108473271952
1983,D7i (interim),90% credible interval - minimum,,93.52105462846846
1984,D7i (interim),90% credible interval - minimum,,94.70005251863672
1985,D7i (interim),90% credible interval - minimum,,96.41394127818047
1986,D7i (interim),90% credible interval - minimum,,98.03653755286132
1987,D7i (interim),90% credible interval - minimum,,100.76695304428588
1988,D7i (interim),90% credible interval - minimum,,96.73221485459264
1989,D7i (interim),90% credible interval - minimum,,93.76833959686714
1990,D7i (interim),90% credible interval - minimum,,91.3026525505464
1991,D7i (interim),90% credible interval - minimum,,89.60818524281014
1992,D7i (interim),90% credible interval - minimum,,88.98003125594968
1993,D7i (interim),90% credible interval - minimum,,88.30094166105545
1994,D7i (interim),90% credible interval - minimum,,89.68339558464183
1995,D7i (interim),90% credible interval - minimum,,88.46539152119404
1996,D7i (interim),90% credible interval - minimum,,86.0296597627785
1997,D7i (interim),90% credible interval - minimum,,82.93707714156044
1998,D7i (interim),90% credible interval - minimum,,80.43363344878335
1999,D7i (interim),90% credible interval - minimum,,79.514774562337
2000,D7i (interim),90% credible interval - minimum,,78.1647782310752
2001,D7i (interim),90% credible interval - minimum,,76.2925810582683
2002,D7i (interim),90% credible interval - minimum,,77.38304701386377
2003,D7i (interim),90% credible interval - minimum,,77.54445783237567
2004,D7i (interim),90% credible interval - minimum,,76.72425436595188
2005,D7i (interim),90% credible interval - minimum,,76.19434361937454
2006,D7i (interim),90% credible interval - minimum,,77.02508357380378
2007,D7i (interim),90% credible interval - minimum,,75.82400202169622
2008,D7i (interim),90% credible interval - minimum,,74.89398316631953
2009,D7i (interim),90% credible interval - minimum,,73.80089358454546
2010,D7i (interim),90% credible interval - minimum,,71.64688612551151
2011,D7i (interim),90% credible interval - minimum,,68.99535833269783
2012,D7i (interim),90% credible interval - minimum,,67.80714953604028
2013,D7i (interim),90% credible interval - minimum,,66.70794066698755
2014,D7i (interim),90% credible interval - minimum,,66.66648282663412
2015,D7i (interim),90% credible interval - minimum,,66.31804854166113
2016,D7i (interim),90% credible interval - minimum,,66.56554031190338
2017,D7i (interim),90% credible interval - minimum,,66.20644149799479
1980,D7i (interim),90% credible interval - maximum,,100.0
1981,D7i (interim),90% credible interval - maximum,,100.5740968919931
1982,D7i (interim),90% credible interval - maximum,,101.15155143988406
1983,D7i (interim),90% credible interval - maximum,,101.5993122140731
1984,D7i (interim),90% credible interval - maximum,,102.86334691041176
1985,D7i (interim),90% credible interval - maximum,,105.46063934093463
1986,D7i (interim),90% credible interval - maximum,,107.44051976138418
1987,D7i (interim),90% credible interval - maximum,,110.44846618485909
1988,D7i (interim),90% credible interval - maximum,,106.00479303547046
1989,D7i (interim),90% credible interval - maximum,,102.77539273351516
1990,D7i (interim),90% credible interval - maximum,,100.3620850001746
1991,D7i (interim),90% credible interval - maximum,,98.4681275919647
1992,D7i (interim),90% credible interval - maximum,,98.0193034913481
1993,D7i (interim),90% credible interval - maximum,,97.82576737068408
1994,D7i (interim),90% credible interval - maximum,,98.9943386111756
1995,D7i (interim),90% credible interval - maximum,,97.60027054670417
1996,D7i (interim),90% credible interval - maximum,,94.94170725113348
1997,D7i (interim),90% credible interval - maximum,,91.44643439027544
1998,D7i (interim),90% credible interval - maximum,,88.57163380286255
1999,D7i (interim),90% credible interval - maximum,,87.7211021061679
2000,D7i (interim),90% credible interval - maximum,,86.52870949579052
2001,D7i (interim),90% credible interval - maximum,,84.28210151638966
2002,D7i (interim),90% credible interval - maximum,,85.77726261454531
2003,D7i (interim),90% credible interval - maximum,,86.4743065864692
2004,D7i (interim),90% credible interval - maximum,,85.18629904285503
2005,D7i (interim),90% credible interval - maximum,,84.81865615459206
2006,D7i (interim),90% credible interval - maximum,,85.50857715149112
2007,D7i (interim),90% credible interval - maximum,,84.33770521739366
2008,D7i (interim),90% credible interval - maximum,,83.3143500148194
2009,D7i (interim),90% credible interval - maximum,,81.95212449159962
2010,D7i (interim),90% credible interval - maximum,,79.50294832145444
2011,D7i (interim),90% credible interval - maximum,,76.92246799512225
2012,D7i (interim),90% credible interval - maximum,,74.99648621207089
2013,D7i (interim),90% credible interval - maximum,,73.95408610622064
2014,D7i (interim),90% credible interval - maximum,,74.08364331855573
2015,D7i (interim),90% credible interval - maximum,,73.61085144956054
2016,D7i (interim),90% credible interval - maximum,,73.99941338793809
2017,D7i (interim),90% credible interval - maximum,,74.18283461635258
Long term (1980–2017),D7ii (interim),,Strong decline,23.6074270557029
Long term (1980–2017),D7ii (interim),,Weak decline,25.7294429708223
Long term (1980–2017),D7ii (interim),,Little or no change,32.0954907161804
Long term (1980–2017),D7ii (interim),,Weak increase,11.6710875331565
Long term (1980–2017),D7ii (interim),,Strong increase,6.89655172413793
Short term (2012–2017),D7ii (interim),,Strong decline,35.8288770053476
Short term (2012–2017),D7ii (interim),,Weak decline,7.2192513368984
Short term (2012–2017),D7ii (interim),,Little or no change,10.6951871657754
Short term (2012–2017),D7ii (interim),,Weak increase,12.2994652406417
Short term (2012–2017),D7ii (interim),,Strong increase,33.9572192513369
