Year,Value
1973,100.0
1974,103.10825660080656
1975,99.13265927436136
1976,96.53221235870753
1977,102.98124312104248
1978,107.5970747605984
1979,110.11518304039718
1980,113.1339782984996
1981,113.09318256524026
1982,120.22498419888052
1983,118.9025465778632
1984,128.5559681871042
1985,124.51932196107715
1986,125.66545740114051
1987,123.88690829773958
1988,123.93862786963152
1989,125.82296856932214
1990,125.25633527571304
1991,127.73657033265648
1992,128.1249368015336
1993,124.95322596325894
1994,127.16526511749508
1995,127.34281890230986
1996,126.14773640368036
1997,126.53294403546548
1998,126.32514949074994
1999,128.11695642801936
2000,123.9264289431316
2001,119.32847478179772
2002,123.62005869559287
2003,122.39725155286956
2004,123.36030553210844
2005,124.86130902263712
2006,121.04829987772064
2007,120.0488634795094
2008,125.39563459642152
2009,122.5418914144498
2010,124.15795301038884
2011,129.73116183126064
2012,123.0497975138112
2013,125.27627491793749
2014,134.118623685635
2015,136.70335734563105
2016,132.89956288240842
2017,137.49628727212124
2018,134.40515046462747
2019,139.48087470276994
