Year,Series,Value
2000-01,E8a,
2001-02,E8a,
2002-03,E8a,3152.4385471090386
2003-04,E8a,3298.970168379515
2004-05,E8a,3365.2887656054386
2005-06,E8a,3347.7287018676507
2006-07,E8a,3279.145944228412
2007-08,E8a,3187.276666666666
2008-09,E8a,3102.773333333333
2009-10,E8a,3062.08
2010-11,E8a,3087.7700000000004
2011-12,E8a,3041.396666666667
2012-13,E8a,3001.25
2013-14,E8a,2921.773333333334
2014-15,E8a,2919.8233333333337
2015-16,E8a,2897.763333333334
2016-17,E8a,2898.91
2017-18,E8a,2914.2533333333326
2018-19,E8a,2939.23
2019-20,E8a,2896.6766666666663
2000-01,E8b,
2001-02,E8b,
2002-03,E8b,
2003-04,E8b,151.62890987636194
2004-05,E8b,151.63021682277432
2005-06,E8b,151.80755507256603
2006-07,E8b,149.65533678549707
2007-08,E8b,148.7265002635376
2008-09,E8b,146.8014433749751
2009-10,E8b,146.15420936120745
2010-11,E8b,145.81188253694958
2011-12,E8b,145.49819174834423
2012-13,E8b,143.3447903074247
2013-14,E8b,141.59206666946343
2014-15,E8b,139.75134591459752
2015-16,E8b,139.78965904038816
2016-17,E8b,139.51617109269472
2017-18,E8b,140.31421488252724
2018-19,E8b,141.4950932577356
2019-20,E8b,141.3835028141581
