Year,Frequency of visits,Value
2009/10,At least once a week,53.51063433492184
2009/10,Once or twice a month,20.04697522208193
2009/10,Less than once a month,16.844940430847583
2009/10,Never,9.597450012148666
2010/11,At least once a week,53.40677384536332
2010/11,Once or twice a month,21.38169943096713
2010/11,Less than once a month,15.91611049771184
2010/11,Never,9.29541622595772
2011/12,At least once a week,54.94014574908447
2011/12,Once or twice a month,20.596121759061106
2011/12,Less than once a month,16.064373233071272
2011/12,Never,8.399359258783152
2012/13,At least once a week,54.70152977110495
2012/13,Once or twice a month,20.19938105031652
2012/13,Less than once a month,16.25733124206386
2012/13,Never,8.841757936514675
2013/14,At least once a week,57.637779735622274
2013/14,Once or twice a month,19.8376217567172
2013/14,Less than once a month,14.96308031307048
2013/14,Never,7.561518194590036
2014/15,At least once a week,58.9442333948777
2014/15,Once or twice a month,18.945815631007925
2014/15,Less than once a month,13.686279387726383
2014/15,Never,8.423671586388004
2015/16,At least once a week,57.578324124481206
2015/16,Once or twice a month,18.99349510405003
2015/16,Less than once a month,13.689267864701703
2015/16,Never,9.738912906767077
2016/17,At least once a week,63.8805106497575
2016/17,Once or twice a month,17.633075615631384
2016/17,Less than once a month,10.813778632634335
2016/17,Never,7.672635101976782
2017/18,At least once a week,62.37416161265305
2017/18,Once or twice a month,19.42984184608698
2017/18,Less than once a month,10.575098321458537
2017/18,Never,7.620898219801441
2018/19,At least once a week,64.68959762713477
2018/19,Once or twice a month,19.44568543445063
2018/19,Less than once a month,9.867864062691131
2018/19,Never,5.996852875723452
