Year,Series,Site type,Methodology,Value
2009/2010,J6a (interim),Total active sites,,680.0
2009/2010,J6a (interim),Active high-risk sites,,
2010/2011,J6a (interim),Total active sites,,618.0
2010/2011,J6a (interim),Active high-risk sites,,
2011/2012,J6a (interim),Total active sites,,1011.0
2011/2012,J6a (interim),Active high-risk sites,,315.0
2012/2013,J6a (interim),Total active sites,,820.0
2012/2013,J6a (interim),Active high-risk sites,,353.0
2013/2014,J6a (interim),Total active sites,,556.0
2013/2014,J6a (interim),Active high-risk sites,,272.0
2014/2015,J6a (interim),Total active sites,,598.0
2014/2015,J6a (interim),Active high-risk sites,,282.0
2015/2016,J6a (interim),Total active sites,,622.0
2015/2016,J6a (interim),Active high-risk sites,,273.0
2016/2017,J6a (interim),Total active sites,,601.0
2016/2017,J6a (interim),Active high-risk sites,,262.0
2017/2018,J6a (interim),Total active sites,,673.0
2017/2018,J6a (interim),Active high-risk sites,,267.0
2018/2019,J6a (interim),Total active sites,,685.0
2018/2019,J6a (interim),Active high-risk sites,,255.0
2019/2020,J6a (interim),Total active sites,,544.0
2019/2020,J6a (interim),Active high-risk sites,,238.0
2020/2021,J6a (interim),Total active sites,,470.0
2020/2021,J6a (interim),Active high-risk sites,,197.0
2007/2008,J6b (interim),,Old methodology,1284.123
2008/2009,J6b (interim),,Old methodology,1165.003
2009/2010,J6b (interim),,Old methodology,946.906
2010/2011,J6b (interim),,Old methodology,819.571
2011/2012,J6b (interim),,Old methodology,744.414
2012/2013,J6b (interim),,Old methodology,714.637
2013/2014,J6b (interim),,Old methodology,857.655
2014/2015,J6b (interim),,Old methodology,905.604
2015/2016,J6b (interim),,Old methodology,941.8957669551492
2016/2017,J6b (interim),,Old methodology,1011.199
2017/2018,J6b (interim),,Old methodology,997.612
2018/2019,J6b (interim),,Old methodology,1072.468
2019/2020,J6b (interim),,Old methodology,
2020/2021,J6b (interim),,Old methodology,
2007/2008,J6b (interim),,New methodology,
2008/2009,J6b (interim),,New methodology,
2009/2010,J6b (interim),,New methodology,
2010/2011,J6b (interim),,New methodology,
2011/2012,J6b (interim),,New methodology,
2012/2013,J6b (interim),,New methodology,
2013/2014,J6b (interim),,New methodology,
2014/2015,J6b (interim),,New methodology,
2015/2016,J6b (interim),,New methodology,
2016/2017,J6b (interim),,New methodology,
2017/2018,J6b (interim),,New methodology,
2018/2019,J6b (interim),,New methodology,957.157
2019/2020,J6b (interim),,New methodology,979.728
2020/2021,J6b (interim),,New methodology,1134.211
